No.,Chap,Sect,#,Question,Section Name,Short Text,Question Type,Chemical,LNG,LPG,Oil,Conditional,Hardware Response Type,Human Response Type,Process Response Type,ROVIQ List
5.10.6,5,10,6,"Were the Master and officers familiar with the company procedures for helicopter/ship operations, and had the crew involved received appropriate training?",Safe Access,Helicopter facilities,Rotational 2,FALSE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Documentation, Main Deck"
5.10.7,5,10,7,"Were the Master, officers and crew familiar with the escape routes from the machinery spaces, pump rooms, compressor rooms, accommodation spaces and, when in port, from the vessel, and were these routes clearly marked, unobstructed and well illuminated?",Safe Access,Escape routes,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Compressor Room, Engine Room, Internal Accommodation, Interview - Rating, Main Deck, Pumproom"
5.11.1,5,11,1,"Were the Master and officers familiar with the company procedures addressing the management of samples of bunker fuel oil and Annex I and/or Annex II cargoes as applicable, and were samples being properly stored and eventually disposed of?",Sample Management,Cargo and bunker sample management.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Chief Engineer's Office, Main Deck"
5.12.1,5,12,1,"Were the Master, officers and ratings familiar with the company procedures that addressed the use of respiratory protective equipment during cargo operations, and did the procedures prohibit the use of filter type respirators for this purpose?",Safety Equipment,Respiratory protective equipment,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Main Deck"
5.12.2,5,12,2,"Were the Master, officers and ratings familiar with the location and operation of the decontamination showers and eyewash stations on deck, and were these facilities suitably marked, easily accessible and ready for use?",Safety Equipment,Decontamination showers and eyewash stations.,Rotational 2,TRUE,FALSE,TRUE,FALSE,TRUE,Binary,Graduated,Graduated,Main Deck
6.1.1,6,1,1,"Were the Master and officers familiar with the company procedure for maintaining the Cargo Record Book, and did the entries contained in the Cargo Record Book accurately record the cargo related operations required to be documented by MARPOL Annex II?",Pollution Prevention - Record Books,Cargo Record Book,Rotational 2,TRUE,FALSE,TRUE,FALSE,TRUE,None,Graduated,Graduated,"Cargo Control Room, Documentation"
6.1.2,6,1,2,"Were the Master and officers familiar with the company procedure for maintaining the Oil Record Book Part II, and did the entries contained in the Oil Record Book Part II accurately record the cargo related operations required to be documented by MARPOL Annex I?",Pollution Prevention - Record Books,Oil Record Book Part II,Rotational 2,TRUE,FALSE,FALSE,TRUE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Documentation"
6.1.3,6,1,3,"Were the Master and engineer officers familiar with the company procedure for maintaining the Oil Record Book Part I, and did the entries contained in the Oil Record Book Part I accurately record the machinery space operations required to be documented by MARPOL Annex I?",Pollution Prevention - Record Books,Oil Record Book Part I,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Chief Engineer's Office, Documentation, Engine Control Room"
6.1.4,6,1,4,"Were the Master and officers familiar with the company procedures for maintaining the Garbage Record Book in accordance with the Garbage Management Plan, and did the entries contained in the Garbage Record Book accurately record the garbage management activities required to be documented by MARPOL Annex V?",Pollution Prevention - Record Books,Garbage Record Book,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Documentation, Engine Room, Interview - Rating"
6.1.5,6,1,5,"Were the Master and engineer officers familiar with the company procedure for maintaining the Ozone-depleting Substances Record Book, and did the entries contained in the Ozone-depleting Substances Record Book accurately record the operations and emissions required to be documented by MARPOL Annex VI?",Pollution Prevention - Record Books,Ozone Depleting Substances Record Book,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Chief Engineer's Office, Documentation, Engine Control Room"
6.1.6,6,1,6,Were the documents and records required by MARPOL Annex VI Regulation 13 for the control of NOx and associated emissions in good order?,Pollution Prevention - Record Books,MARPOL Annex VI NOx Compliance and Record Keeping.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Chief Engineer's Office, Documentation, Engine Control Room"
6.2.1,6,2,1,"Were the Master and officers familiar with the arrangements to drain the cargo pumproom bilges in the event of flooding or accidental leakage, and were these arrangements in good order?",Cargo and Bunker Operations,Flooding or accidental leakage of cargo pumproom bilges,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Pumproom"
6.2.2,6,2,2,"Were cargo system overboard and sea suction valves checked and verified as closed and secured prior to commencement of cargo transfer, and where provided, were sea valve-testing arrangements in order and regularly monitored for leakage?",Cargo and Bunker Operations,Cargo system overboard and sea suction valves,Rotational 2,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck, Pumproom"
6.2.3,6,2,3,"Were the Master and officers familiar with the company procedures for inspections and pressure tests of the bunker oil (HFO and MDO) pipeline system, and had the tests been performed and the results suitably recorded?",Cargo and Bunker Operations,Bunker pipeline system pressure testing,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Chief Engineer's Office, Documentation, Main Deck"
6.3.1,6,3,1,"Were the Master and officers familiar with the company procedures for the safe operation of the ballast water management system (BWMS), and was the equipment in satisfactory condition and used in accordance with the company procedures and manufacturer’s instructions?",Ballast Operations,Ballast water management system (BWMS),Rotational 1,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Engine Room, Main Deck, Pumproom"
6.4.1,6,4,1,"Were the Master, officers and ratings familiar with the company procedures for the removal of small quantities of oil or chemical spilled and contained on deck, and was suitable response equipment available, in satisfactory condition and effectively deployed?",Deck Area Pollution Prevention,Main deck oil or chemical spill clean up equipment.,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Interview - Rating, Main Deck"
6.4.2,6,4,2,"Were the Master and officers familiar with the company procedures for the disposal of accumulations of water contaminated with oil and/or marine pollutants in the forecastle and other internal spaces, and had the procedures been implemented?",Deck Area Pollution Prevention,Disposal of oily water in the forecastle and other internal spaces,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Forecastle, Pumproom, Steering Gear"
6.5.1,6,5,1,"Were the Master and officers familiar with the emergency arrangements to pump out the machinery space bilges in the event of flooding, and were these arrangements prominently marked and in good order?",Machinery Space Pollution Prevention,Emergency arrangements to pump out the machinery space bilges,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,Engine Room
6.5.2,6,5,2,"Were the engineer officers familiar with the company procedure for the safe use of the incinerator, and was the incinerator in satisfactory condition and used in accordance with the company procedure and in compliance with MARPOL?",Machinery Space Pollution Prevention,Incinerator operation.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Engine Room, Interview - Engineer Officer"
6.6.1,6,6,1,"Were the Master and engineer officers familiar with the company procedures for the use of the oil filtering equipment, and was the oil filtering equipment in satisfactory condition and used in accordance with the company procedure, manufacturer’s instructions and MARPOL Annex I?",Oil Discharge Monitors,Oil filtering equipment.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Engine Control Room, Engine Room, Interview - Engineer Officer"
6.6.2,6,6,2,"Were the Master and officers familiar with the company procedures for the use of the oil discharge monitoring and control system, and was the oil discharge monitoring and control system in satisfactory condition and used in accordance with the company procedures, manufacturer’s instructions and MARPOL Annex I?",Oil Discharge Monitors,Oil discharge monitoring and control system (ODME),Rotational 1,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck, Pumproom"
7.1.1,7,1,1,"Was security threat and risk assessment an integral part of voyage planning, and did the passage plan contain security related information for each leg of the voyage?",Ship Routing,Security threat and risk assessment during passage planning.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,None,None,Graduated,Bridge
7.2.1,7,2,1,"Were the Master and officers familiar with the company procedures for hardening the vessel when entering areas of increased security risk, and was there a Vessel Hardening Plan (VHP) available?",Ship Hardening and access control,Vessel hardening.,Rotational 2,TRUE,TRUE,TRUE,TRUE,TRUE,Binary,Graduated,Graduated,"Documentation, Exterior Decks, Interview - Security Officer, Main Deck"
7.2.2,7,2,2,"Were the Master, officers and ratings familiar with the company procedures to control access to the vessel in port and to ensure the safety of visitors, and were these procedures effectively implemented?",Ship Hardening and access control,Controlling access to the vessel,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Approaching Vessel, Forecastle, Main Deck, Mooring Decks"
7.3.1,7,3,1,Were the Master and officers familiar with regional maritime security reporting requirements and operation of the ship security alert system (SSAS) and had this equipment been regularly tested?,Communications and Monitoring,Ship security reporting and communications,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Internal Accommodation"
7.4.1,7,4,1,"Did the Ship Security Officer (SSO) have a valid Certificate of Proficiency and a full understanding of their role, and were ship security records of port calls being maintained as required by SOLAS?",Ship Security Officer,Ship Security Officer (SSO).,Rotational 2,TRUE,TRUE,TRUE,TRUE,FALSE,None,Graduated,Graduated,"Documentation, Interview - Rating, Interview - Security Officer"
7.5.1,7,5,1,"Were the Master and officers familiar with the company procedures for cyber security risk management, and had these procedures been fully implemented?",Cyber Security,Cyber security risk management.,Rotational 1,TRUE,TRUE,TRUE,TRUE,FALSE,Binary,Graduated,Graduated,"Bridge, Cargo Control Room, Documentation, Engine Control Room"
8.1.1,8,1,1,"Were the Master and officers familiar with the company procedures for the use of the inert gas system, and had the inert gas system been used in accordance with ISGOTT guidance, with cargo tanks maintained in an inert condition at all times, except when it was necessary to be gas-free for entry?",Oil,Inert gas system usage on oil tankers.,Core,FALSE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.1.2,8,1,2,"Were the Master and officers familiar with the company procedures and international regulations for the planning, preparation, conduct and documentation of crude oil washing operations (COW), and was the COW system in satisfactory condition and used in accordance with the company procedures for each COW operation?",Oil,Crude Oil Washing operations (COW),Rotational 1,FALSE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck, Pumproom"
8.1.3,8,1,3,"Were the Master and officers familiar with the company procedures for the isolation of individual cargo tanks from the common venting system in accordance with SOLAS, and were these procedures being followed?",Oil,Cargo tank isolation from venting system.,Rotational 2,FALSE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.1.4,8,1,4,"Were the Master and deck officers familiar with the company procedures for planning and documenting cargo tank cleaning operations after the carriage of volatile products, and had these procedures been followed?",Oil,Oil cargo tank cleaning procedures.,Rotational 2,FALSE,FALSE,FALSE,TRUE,FALSE,None,Graduated,Graduated,Cargo Control Room
8.2.1,8,2,1,"Were the Master and officers familiar with the company procedures for the operation of the inert gas system, and had the inert gas system been used in accordance with these procedures, industry guidance, and SOLAS and IBC regulations?",Chemicals,Chemical tanker inert gas system usage.,Core,TRUE,FALSE,FALSE,FALSE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.2.2,8,2,2,"Were the Master and officers familiar with the company procedures that addressed the carriage of inhibited cargoes, and had these procedures been followed?",Chemicals,Carriage of inhibited chemical cargoes.,Core,TRUE,FALSE,FALSE,FALSE,FALSE,None,Graduated,Graduated,Cargo Control Room
8.2.3,8,2,3,"Were the Master and officers familiar with the information contained in the Procedures and Arrangements Manual, Certificate of Fitness for the Carriage of Noxious Liquid Substances in Bulk, the IBC Code and the latest MEPC.2/Circular, and was this information readily available to the officers engaged in cargo planning and operations?",Chemicals,Procedures and Arrangements Manual.,Rotational 1,TRUE,FALSE,TRUE,FALSE,TRUE,None,Graduated,Graduated,Cargo Control Room
8.2.4,8,2,4,"Were the Master and deck officers familiar with the company procedures for planning and documenting cargo tank cleaning operations after the carriage of volatile and/or toxic products, and had these procedures been followed?",Chemicals,Chemical tank cleaning procedures.,Rotational 2,TRUE,FALSE,FALSE,FALSE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.2.5,8,2,5,"Were the Master and deck officers familiar with the company procedures for identifying and segregating incompatible cargoes during cargo stowage planning, and had these procedures been followed?",Chemicals,Chemical cargo compatibility charts.,Rotational 2,TRUE,FALSE,FALSE,FALSE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.2.6,8,2,6,"Were there sufficient escape sets as required by the IBC Code for everyone on board, and did the sets provide suitable respiratory and eye protection?",Chemicals,Escape sets required by IBC Code.,Rotational 2,TRUE,FALSE,FALSE,FALSE,FALSE,Binary,Graduated,Graduated,"Engine Room, Internal Accommodation, Interview - Rating"
8.2.7,8,2,7," Were the Master and officers familiar with the company procedures relating to the safety equipment required by the IBC Code, including SCBAs, and was the equipment in satisfactory condition ready for immediate use?",Chemicals,Safety equipment required by the IBC Code.,Rotational 2,TRUE,FALSE,FALSE,FALSE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Forecastle, Main Deck"
8.2.8,8,2,8,"Were the Master and officers familiar with the company procedures addressing the protective equipment required by the IBC Code, and was this equipment in satisfactory condition and suitable for the products being handled?",Chemicals,Protective equipment required by the IBC Code.,Rotational 2,TRUE,FALSE,FALSE,FALSE,FALSE,Binary,Graduated,Graduated,"Internal Accommodation, Main Deck"
8.3.1,8,3,1,"Were the Master and officers familiar with the purpose, operation and testing of the inert gas generator, and had the system been operated and maintained in accordance with the manufacturer’s instructions and company procedures?",Oil and Chemical,Inert gas generator,Core,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Engine Control Room, Engine Room"
8.3.2,8,3,2,"Were the Master and officers familiar with the purpose, operation and testing of the nitrogen generator inert gas system, and had the system been operated and maintained in accordance with the manufacturer’s instructions and company procedures?",Oil and Chemical,Nitrogen generator inert gas system,Core,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Engine Control Room, Engine Room"
8.3.3,8,3,3,"Were the Master and officers familiar with the purpose, operation and testing of the flue gas inert gas system, and had the system been operated and maintained in accordance with the manufacturer’s instructions and company procedures?",Oil and Chemical,Flue gas inert gas system,Core,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Engine Control Room, Engine Room"
8.3.4,8,3,4,"Were the Master and officers familiar with the company procedures for the maintenance, testing and setting of the cargo tank high-level and high-high-level alarms, and were these alarm systems fully operational and properly set?",Oil and Chemical,Cargo tank high level and overfill alarms.,Core,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.5,8,3,5,"Were the Master, deck officers and deck ratings familiar with the company procedures for dipping, ullaging and sampling flammable static accumulator cargoes in non-inerted tanks, and were these procedures being followed?",Oil and Chemical,Gauging and sampling static accumulator cargo in non-inerted tanks.,Core,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Interview - Deck Rating, Main Deck"
8.3.6,8,3,6,"Were the Master and deck officers familiar with the company procedures for loading flammable static accumulator cargoes into non-inerted tanks, and were these procedures being followed?",Oil and Chemical,Loading static accumulator cargo into non-inerted tanks.,Core,TRUE,FALSE,FALSE,TRUE,TRUE,None,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.7,8,3,7,"Were the Master and officers familiar with the purpose, operation and calibration of the inert gas system fixed oxygen analyser, and had the equipment been operated, maintained and calibrated in accordance with the manufacturer’s instructions and company procedures?",Oil and Chemical,IGS oxygen analyser,Rotational 1,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Engine Control Room, Engine Room"
8.3.8,8,3,8,"Were the Master, officers and ratings familiar with the cargo system Emergency Shutdown (ESD) system, where fitted, and/or the cargo pump emergency stop controls, and was there evidence that the systems and equipment had been tested in accordance with company procedures?",Oil and Chemical,Oil and Chemical Tanker ESD and/or cargo pump emergency stop controls.,Rotational 1,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Interview - Deck Rating, Main Deck, Pumproom"
8.3.9,8,3,9,"Were the Master and officers familiar with the company procedures for the inspection and testing of cargo, vapour and inert gas pipelines, and were records available for these activities?",Oil and Chemical,"Pressure testing and inspection of cargo, inert gas and vapour pipelines.",Rotational 1,TRUE,FALSE,FALSE,TRUE,FALSE,Graduated,Graduated,Graduated,"Cargo Control Room, Main Deck, Pumproom"
8.3.10,8,3,10,"Were the Master and officers familiar with the company procedures for the inspection, testing and operation of the vapour collection system, and was this equipment in satisfactory condition?",Oil and Chemical,Vapour collection system.,Rotational 1,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.11,8,3,11,"Were the Master, deck officers and deck ratings familiar with the company procedures for cargo tank washing after the carriage of volatile products in a non-inert atmosphere, and had these procedures been followed?",Oil and Chemical,Oil and chemical tank cleaning in non-inert tanks.,Rotational 1,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Interview - Deck Rating, Main Deck"
8.3.12,8,3,12,"Were the Master and officers familiar with the company procedures for the use of portable cargo ullage/temperature/interface (UTI) measurement and sampling equipment, and was the equipment in satisfactory condition and used in accordance with the company procedures?",Oil and Chemical,Portable ullage/temperature/interface (UTI) measurement and sampling equipment.,Rotational 1,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Interview - Deck Rating, Main Deck"
8.3.13,8,3,13,"Were the Master and officers familiar with the company procedures for the operation of the primary and secondary cargo tank venting systems in accordance with SOLAS, and were these systems correctly set?",Oil and Chemical,Secondary venting systems.,Rotational 1,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.14,8,3,14,"Were the Master and officers familiar with the company procedures for the operation, inspection, testing and maintenance of the cargo tank venting systems, and were the systems in satisfactory condition?",Oil and Chemical,Cargo tank venting systems.,Rotational 1,TRUE,FALSE,FALSE,TRUE,FALSE,Graduated,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.15,8,3,15,"Were the Master and officers familiar with the company procedures for monitoring leakage into the cofferdams of deepwell pumps, and had regular purging of the cofferdams taken place to identify any excessive leakage?",Oil and Chemical,Deepwell pump cofferdam purging.,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Interview - Deck Rating, Main Deck"
8.3.16,8,3,16,"Were the Master and officers familiar with the purpose, operation, testing and maintenance of the non-return devices installed in the inert gas system, and were these devices in satisfactory condition?",Oil and Chemical,Inert gas system non-return devices,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Graduated,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.17,8,3,17,"Were the Master and officers familiar with the company procedures for the use, inspection and testing of manifold reducers, spool pieces and other portable pipework, and were these items in satisfactory condition and properly fitted when in use?",Oil and Chemical,Manifold reducers and spool pieces.,Rotational 2,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.18,8,3,18,"Were the Master and officers familiar with the purpose, operation, testing and maintenance of the pressure/vacuum-breaking (P/V) device(s) installed in the inert gas main, and was this device(s) in satisfactory condition?",Oil and Chemical,Inert gas system pressure/vacuum-breaking (P/V) device(s),Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.19,8,3,19,"Were the Master and officers familiar with the purpose, operation and testing of the indicators and alarms in the inert gas system, and had the equipment been operated, maintained and calibrated in accordance with the manufacturer’s instructions and company procedures?",Oil and Chemical,Indicators and alarms for the inert gas system,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Engine Control Room"
8.3.20,8,3,20,"Were the Master and officers familiar with the purpose and operation of the connections and interconnections to the inert gas system for routine and emergency inert gas operations, and were these arrangements in satisfactory condition and clearly identified as to their purpose?",Oil and Chemical,Connections and interconnections to/with the inert gas system piping,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.21,8,3,21,"Were the Master and officers familiar with the company procedure for cargo heating, and was the cargo heating system in satisfactory condition and tested and used in accordance with the company procedure?",Oil and Chemical,Cargo heating system,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Engine Room, Main Deck"
8.3.22,8,3,22,"Were the Master and officers familiar with the company procedures for managing on-board doping operations, and had these procedures been complied with?",Oil and Chemical,Cargo doping and additives.,Rotational 2,TRUE,FALSE,FALSE,TRUE,FALSE,None,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.23,8,3,23,"Were the Master and officers familiar with the company procedures for the maintenance, testing and calibration of the cargo temperature monitoring equipment, and was the equipment in satisfactory condition?",Oil and Chemical,Cargo tank temperature monitoring systems.,Rotational 2,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.3.24,8,3,24,"Were the Master and officers familiar with the company procedures for managing cargo and vapour connections at the cargo manifolds, and were the manifold arrangements in satisfactory condition?",Oil and Chemical,Cargo manifold arrangements.,Rotational 2,TRUE,FALSE,FALSE,TRUE,FALSE,Binary,Graduated,Graduated,Cargo Manifold
8.3.25,8,3,25,"Were the Master and deck officers familiar with the company procedures for receiving nitrogen from shore for operations such as inerting, purging or padding cargo tank, or for clearing cargo lines?",Oil and Chemical,Receiving nitrogen from shore,Rotational 2,TRUE,FALSE,FALSE,TRUE,TRUE,None,Graduated,Graduated,Cargo Control Room
8.4.1,8,4,1,"Were the Master and officers familiar with the company procedures that addressed the carriage of inhibited cargoes, and had these procedures been followed?",LPG,Carriage of inhibited cargoes.,Rotational 2,FALSE,FALSE,TRUE,FALSE,FALSE,None,Graduated,Graduated,Cargo Control Room
8.4.2,8,4,2,Were the Master and Officers familiar with the company procedures for carrying out cargo sampling operations?,LPG,Cargo sampling,Rotational 2,FALSE,FALSE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.4.3,8,4,3,"Were the Master and officers familiar with the company procedures for identifying and segregating incompatible cargoes and refrigerants during cargo stowage planning, and had these procedures been followed?",LPG,Segregating incompatible cargoes and refrigerants,Rotational 2,FALSE,FALSE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Compressor Room, Main Deck"
8.4.4,8,4,4,"Were the Master and officers familiar with the company procedures for the safe carriage of propylene oxide (PO), ethylene oxide (EO) and PO-EO mixtures?",LPG,Carriage of propylene oxide (PO) and/or ethylene oxide (EO),Rotational 2,FALSE,FALSE,TRUE,FALSE,TRUE,Binary,Graduated,Graduated,"Cargo Control Room, Compressor Room, Main Deck"
8.4.5,8,4,5,"Were there sufficient escape sets as required by the IGC Code for everyone on board, and did the sets provide suitable respiratory and eye protection?",LPG,Escape sets as required by the IGC Code,Rotational 2,FALSE,FALSE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Engine Room, Internal Accommodation, Interview - Rating"
8.4.6,8,4,6,"Were the Master and officers familiar with the company procedures for the inspection and maintenance of the cargo tank insulation, and was the insulation reported to be in good condition?",LPG,Cargo tank insulation,Rotational 2,FALSE,FALSE,TRUE,FALSE,TRUE,Binary,Graduated,Graduated,Cargo Control Room
8.4.7,8,4,7,"Were the vent outlets from the cargo containment system fitted with the correct protection screen or flame screen required for the cargo being carried, and were the screens in satisfactory condition?",LPG,Vent outlet protection screens or flame screens,Rotational 2,FALSE,FALSE,TRUE,FALSE,FALSE,Binary,None,None,Main Deck
8.5.1,8,5,1,"Were the Master and officers familiar with the company procedures for the operation, testing and calibration of the custody transfer measurement system (CTMS), and was the system in satisfactory condition?",LNG,Custody transfer measurement system (CTMS),Rotational 2,FALSE,TRUE,FALSE,FALSE,FALSE,Binary,Graduated,Graduated,Cargo Control Room
8.5.2,8,5,2,"Were the Master and officers familiar with the company procedures for the operation, inspection, maintenance and testing of the Gas Combustion Unit (GCU)?",LNG,Gas Combustion Unit (GCU),Rotational 2,FALSE,TRUE,FALSE,FALSE,TRUE,Binary,Graduated,Graduated,"Engine Control Room, Engine Room"
8.5.3,8,5,3,"Were the Master and officers familiar with the company procedures for the inspection, maintenance and testing of the safety arrangements for the LNG gas fuel supply system, and were these arrangements in satisfactory condition?",LNG,LNG gas fuel supply system,Rotational 2,FALSE,TRUE,FALSE,FALSE,FALSE,Binary,Graduated,Graduated,"Engine Control Room, Engine Room"
8.5.4,8,5,4,"Were the Master and officers familiar with the company procedures for protecting the hull structure from low temperature exposure, and was temperature monitoring and cofferdam heating equipment, where fitted, in satisfactory condition?",LNG,Cold spots and cofferdam temperature monitoring and heating equipment.,Rotational 2,FALSE,TRUE,FALSE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Engine Room, Main Deck"
8.6.1,8,6,1,"Were the Master and officers familiar with the company procedures for the maintenance, testing and setting of the independent cargo tank high-level and overfill alarms, and were these alarm systems fully operational and properly set?",Gas (common to all vessels under IGC Code),Cargo tank overfill alarms,Core,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.6.2,8,6,2,"Were the Master, officers, and ratings involved with cargo operations, familiar with the functions of the vessel’s cargo transfer Emergency Shut Down (ESD) systems, and was the equipment in good working order, regularly inspected, tested and maintained?",Gas (common to all vessels under IGC Code),Cargo transfer Emergency Shut Down (ESD),Core,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Bridge, Cargo Control Room, Cargo Manifold, Interview - Deck Rating, Main Deck"
8.6.3,8,6,3,"Were the Master and officers familiar with the company procedures for the inspection, maintenance, testing and setting of the cargo tank relief valves?",Gas (common to all vessels under IGC Code),Cargo tank relief valves,Rotational 1,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.6.4,8,6,4,"Was a ship specific Cargo System Operation Manual provided on board, and were the Master and officers familiar with its content?",Gas (common to all vessels under IGC Code),Cargo System Operation Manual,Rotational 1,FALSE,TRUE,TRUE,FALSE,FALSE,None,Graduated,Graduated,Cargo Control Room
8.6.5,8,6,5,"Were the Master and officers familiar with the company procedures for monitoring the integrity of the containment system and maintaining the atmosphere in the interbarrier spaces and/or hold spaces in a safe condition, and had records been maintained?",Gas (common to all vessels under IGC Code),Maintaining the atmosphere in the interbarrier spaces and/or hold spaces,Rotational 1,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Main Deck"
8.6.6,8,6,6,"Were the Master and officers familiar with the company procedures for the management and operation of the cargo alarm systems, and had these procedures been followed?",Gas (common to all vessels under IGC Code),Cargo system alarm management,Rotational 1,FALSE,TRUE,TRUE,FALSE,FALSE,None,Graduated,Graduated,Cargo Control Room
8.6.7,8,6,7,"Were the Master and officers familiar with the company procedures for the operation, inspection, testing and maintenance of the vessel’s inert gas system and its associated equipment, and was the equipment in satisfactory condition?",Gas (common to all vessels under IGC Code),Inert gas system,Rotational 2,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Control Room, Engine Control Room, Engine Room"
8.6.8,8,6,8,"Were the Master and officers familiar with the company procedures for managing cargo and vapour connections at the cargo manifolds, and were the manifold arrangements in satisfactory condition?",Gas (common to all vessels under IGC Code),Gas vessel cargo manifolds,Rotational 2,FALSE,TRUE,TRUE,FALSE,FALSE,Binary,Graduated,Graduated,"Cargo Manifold, Interview - Deck Rating"
